lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i,chain
-7.13734,1.0,0.965593,1,1,0,7.24634,0.178156,250,3
-8.17125,0.873468,0.965593,2,3,0,8.59048,0.431711,251,3
-7.5129,1.0,0.965593,1,1,0,8.03259,0.35794,252,3
-7.50488,1.0,0.965593,1,1,0,7.67043,0.356821,253,3
-7.12398,1.0,0.965593,1,1,0,7.38215,0.285989,254,3
-7.38703,0.916346,0.965593,1,1,0,7.39563,0.339278,255,3
-7.3124,1.0,0.965593,1,1,0,7.44449,0.326809,256,3
-7.09669,1.0,0.965593,1,1,0,7.24681,0.277669,257,3
-7.60188,0.845412,0.965593,1,1,0,7.60203,0.369842,258,3
-7.1453,0.944709,0.965593,1,3,0,7.87432,0.176483,259,3
-8.38928,0.825364,0.965593,2,3,0,9.00214,0.451333,260,3
-8.38928,0.769519,0.965593,1,1,0,9.23006,0.451333,261,3
-9.48155,0.653152,0.965593,1,1,0,9.87974,0.531704,262,3
-8.1957,1.0,0.965593,2,3,0,9.29423,0.433996,263,3
-8.1957,0.193872,0.965593,1,1,0,11.0035,0.433996,264,3
-7.28677,1.0,0.965593,2,3,0,8.06968,0.153739,265,3
-7.18912,1.0,0.965593,1,1,0,7.28455,0.168255,266,3
-7.02374,0.998522,0.965593,2,3,0,7.19397,0.225364,267,3
-7.51667,0.842239,0.965593,2,3,0,8.0049,0.358462,268,3
-7.28511,1.0,0.965593,2,3,0,7.49371,0.321892,269,3
-7.04878,0.988768,0.965593,1,3,0,7.3409,0.204798,270,3
-7.58377,0.894229,0.965593,1,3,0,7.65581,0.1242,271,3
-7.34135,0.934906,0.965593,1,3,0,8.25386,0.3318,272,3
-7.03945,0.998453,0.965593,2,3,0,7.37759,0.209829,273,3
-7.03275,1.0,0.965593,1,1,0,7.03919,0.214446,274,3
-7.22791,0.958486,0.965593,1,3,0,7.24547,0.161991,275,3
-8.01956,0.941248,0.965593,2,3,0,8.11807,0.416987,276,3
-7.55879,1.0,0.965593,1,1,0,7.98358,0.364189,277,3
-7.50441,1.0,0.965593,2,3,0,7.69326,0.356755,278,3
-7.04446,0.762276,0.965593,2,3,0,8.55948,0.255759,279,3
-7.02685,0.998284,0.965593,1,3,0,7.05458,0.220181,280,3
-7.02685,0.608083,0.965593,1,3,0,8.68486,0.220181,281,3
-7.06292,0.992452,0.965593,1,3,0,7.06381,0.19876,282,3
-7.37189,0.943357,0.965593,1,3,0,7.38654,0.14365,283,3
-8.47066,0.86439,0.965593,2,3,0,8.90821,0.0778041,284,3
-8.5936,0.986631,0.965593,1,1,0,8.78647,0.0735407,285,3
-8.57579,1.0,0.965593,2,3,0,8.83417,0.0741377,286,3
-7.07599,1.0,0.965593,2,3,0,8.42135,0.194136,287,3
-7.02536,0.997197,0.965593,1,3,0,7.08543,0.239432,288,3
-7.05734,0.973353,0.965593,2,3,0,7.16985,0.200982,289,3
-7.42283,0.94893,0.965593,2,3,0,7.52616,0.344847,290,3
-7.0577,0.985147,0.965593,1,3,0,7.49086,0.200834,291,3
-7.139,0.972661,0.965593,1,3,0,7.23291,0.290126,292,3
