lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta,i
-6.75739,0.917058,0.962205,2,3,0,7.89595,0.233154,359
-6.75943,0.977927,0.962205,2,3,0,6.8861,0.269191,360
-6.75541,0.985194,0.962205,2,3,0,6.83901,0.235016,361
-7.12364,0.934995,0.962205,2,3,0,7.22975,0.153313,362
-7.4617,0.980341,0.962205,2,3,0,7.47737,0.123443,363
-7.1272,0.971951,0.962205,2,3,0,7.92193,0.152916,364
-6.74811,1.0,0.962205,2,3,0,7.09588,0.24832,365
-6.80443,0.985354,0.962205,1,3,0,6.8145,0.293464,366
-7.34919,0.616105,0.962205,2,3,0,8.88049,0.400384,367
-7.81301,0.544983,0.962205,1,3,0,9.60011,0.102186,368
-6.75894,1.0,0.962205,2,3,0,7.5909,0.268768,369
-7.03369,0.935149,0.962205,1,3,0,7.04128,0.351353,370
-7.13849,0.96478,0.962205,1,1,0,7.21549,0.36958,371
-7.13849,0.460939,0.962205,1,1,0,8.51954,0.36958,372
-6.92987,0.651484,0.962205,2,3,0,8.89749,0.329905,373
-7.29827,0.882326,0.962205,1,1,0,7.32109,0.393471,374
-6.96469,1.0,0.962205,1,1,0,7.21866,0.337607,375
-7.05026,0.971673,0.962205,1,1,0,7.10645,0.354417,376
-7.26481,0.928443,0.962205,1,1,0,7.33575,0.388766,377
-6.85622,1.0,0.962205,1,1,0,7.13383,0.310914,378
-6.80216,0.982839,0.962205,1,3,0,6.97101,0.210448,379
-7.15086,0.938144,0.962205,1,3,0,7.16391,0.150338,380
-6.751,0.9164,0.962205,2,3,0,7.95578,0.259725,381
-7.54748,0.79714,0.962205,1,3,0,7.88106,0.117594,382
-7.09939,1.0,0.962205,2,3,0,7.47118,0.156085,383
-6.92442,0.966756,0.962205,2,3,0,7.47703,0.328639,384
-8.34051,0.449491,0.962205,2,3,0,11.0903,0.0795367,385
-7.93083,1.0,0.962205,1,1,0,8.37978,0.096364,386
